                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.77054,                0.52723,                0.97619,                0.78037,                0.82881,                0.88803,                0.72581,                0.64841,                0.52544,                0.90289,              8.944e-05,              8.944e-05,              8.944e-05
                     35,                0.71961,                0.49677,                0.97664,                0.79474,                0.79617,                0.85582,                 0.7024,                0.66811,                 0.5437,                0.91821,              8.911e-05,              8.911e-05,              8.911e-05
                     36,                0.76432,                 0.5117,                0.98749,                0.79428,                0.83249,                0.87831,                0.73668,                0.63208,                0.53685,                0.90368,              8.878e-05,              8.878e-05,              8.878e-05
                     37,                0.71124,                0.52499,                0.98754,                0.82632,                0.78817,                0.86535,                0.71633,                0.64461,                0.59826,                0.90478,              8.845e-05,              8.845e-05,              8.845e-05
                     38,                0.72408,                 0.5051,                0.96138,                0.86384,                0.78555,                0.85601,                 0.6997,                0.65193,                0.58361,                0.91132,              8.812e-05,              8.812e-05,              8.812e-05
                     39,                0.74089,                0.51452,                0.97046,                0.87189,                0.81299,                0.90563,                0.74413,                0.61826,                0.51216,                0.89744,              8.779e-05,              8.779e-05,              8.779e-05
                     40,                0.72699,                0.49346,                 0.9759,                0.88721,                 0.8143,                 0.8937,                0.73454,                0.63765,                0.50323,                0.90138,              8.746e-05,              8.746e-05,              8.746e-05
                     41,                0.72708,                0.51369,                0.96075,                0.85979,                0.77951,                0.85227,                 0.7145,                0.64855,                0.50209,                0.90543,              8.713e-05,              8.713e-05,              8.713e-05
                     42,                0.71442,                0.50535,                0.96684,                0.86171,                0.77161,                0.87211,                0.72773,                 0.6302,                0.52128,                0.91237,               8.68e-05,               8.68e-05,               8.68e-05
                     43,                0.70788,                0.49389,                0.95755,                0.82016,                0.83151,                0.91062,                0.74329,                 0.6235,                0.49095,                0.90765,              8.647e-05,              8.647e-05,              8.647e-05
                     44,                0.71651,                0.49454,                0.96274,                0.83445,                 0.8293,                0.88775,                0.72154,                0.63794,                0.48416,                0.91243,              8.614e-05,              8.614e-05,              8.614e-05
                     45,                0.68288,                0.48387,                0.95475,                 0.8087,                0.87701,                0.90214,                0.72671,                0.63503,                0.47402,                0.90829,              8.581e-05,              8.581e-05,              8.581e-05
                     46,                0.68627,                0.47611,                 0.9453,                0.77943,                0.88603,                 0.8888,                 0.7239,                0.63561,                0.45643,                0.91325,              8.548e-05,              8.548e-05,              8.548e-05
                     47,                0.69576,                0.47516,                0.96303,                0.88817,                0.80596,                0.89101,                0.73105,                0.62792,                0.49735,                0.91444,              8.515e-05,              8.515e-05,              8.515e-05
                     48,                0.71203,                0.47329,                0.95048,                0.87724,                0.84602,                 0.8933,                0.73986,                0.64782,                 0.4639,                0.92198,              8.482e-05,              8.482e-05,              8.482e-05
                     49,                0.68045,                0.47205,                 0.9634,                0.89518,                0.85003,                0.90984,                0.74812,                0.63634,                0.46075,                 0.9091,              8.449e-05,              8.449e-05,              8.449e-05
                     50,                0.66401,                0.46652,                0.94899,                0.88411,                0.77043,                0.88463,                0.74037,                0.63592,                0.51049,                0.90021,              8.416e-05,              8.416e-05,              8.416e-05
                     51,                0.72737,                0.48276,                 0.9525,                0.76737,                0.84092,                0.87447,                0.71789,                 0.6482,                   0.49,                0.90334,              8.383e-05,              8.383e-05,              8.383e-05
                     52,                0.64775,                0.45241,                0.95252,                0.83571,                0.82474,                0.87392,                0.72309,                0.61897,                0.48307,                0.90048,               8.35e-05,               8.35e-05,               8.35e-05
                     53,                0.67641,                0.46345,                0.93723,                0.89803,                0.80834,                0.88108,                0.74039,                0.62955,                0.48407,                0.90213,              8.317e-05,              8.317e-05,              8.317e-05
                     54,                0.63202,                0.43624,                 0.9359,                0.88815,                0.79998,                0.89085,                0.75016,                0.62984,                0.52341,                0.90966,              8.284e-05,              8.284e-05,              8.284e-05
                     55,                   0.66,                0.44532,                 0.9441,                0.89968,                0.82381,                0.89616,                0.74089,                0.62461,                0.47442,                0.90423,              8.251e-05,              8.251e-05,              8.251e-05
                     56,                0.69648,                0.46289,                0.95753,                0.84525,                0.85887,                0.90907,                0.74844,                0.61848,                0.48686,                0.91024,              8.218e-05,              8.218e-05,              8.218e-05
                     57,                0.67505,                0.45326,                0.93928,                0.90852,                0.78222,                0.90851,                0.75171,                0.61806,                 0.4736,                0.90827,              8.185e-05,              8.185e-05,              8.185e-05
                     58,                0.61517,                0.42615,                0.94109,                0.85283,                0.84047,                0.89183,                0.73253,                0.63577,                0.47449,                0.91125,              8.152e-05,              8.152e-05,              8.152e-05
                     59,                0.64526,                 0.4466,                0.94412,                0.84971,                0.85038,                0.89828,                0.73749,                0.62739,                0.47791,                0.91238,              8.119e-05,              8.119e-05,              8.119e-05
                     60,                0.63896,                0.43908,                0.94015,                0.89501,                0.82598,                 0.9175,                0.74039,                0.63376,                0.47371,                0.90433,              8.086e-05,              8.086e-05,              8.086e-05
                     61,                0.60033,                0.42501,                0.94319,                0.90851,                0.86314,                0.92006,                0.76167,                0.61043,                  0.456,                0.89798,              8.053e-05,              8.053e-05,              8.053e-05
                     62,                0.62708,                0.42495,                 0.9313,                0.89976,                 0.8493,                0.92758,                0.76997,                0.62082,                0.44672,                0.90273,               8.02e-05,               8.02e-05,               8.02e-05
                     63,                0.64016,                 0.4379,                0.92831,                0.85364,                0.87214,                  0.924,                0.76358,                 0.6066,                0.43443,                0.89828,              7.987e-05,              7.987e-05,              7.987e-05
                     64,                0.57237,                0.40723,                0.93295,                0.90475,                0.81697,                0.90899,                0.74274,                0.61959,                0.46171,                0.90361,              7.954e-05,              7.954e-05,              7.954e-05
                     65,                0.60178,                0.41191,                0.91902,                0.90363,                0.81053,                0.90617,                 0.7541,                0.59967,                0.43756,                0.90101,              7.921e-05,              7.921e-05,              7.921e-05
                     66,                0.58599,                0.40844,                0.92449,                0.91951,                0.82056,                0.88952,                0.75005,                0.62244,                  0.415,                0.91059,              7.888e-05,              7.888e-05,              7.888e-05
                     67,                0.61151,                0.41846,                0.93055,                0.83193,                0.86268,                0.85971,                0.71021,                 0.6145,                0.45027,                 0.8957,              7.855e-05,              7.855e-05,              7.855e-05
                     68,                0.58755,                0.40299,                0.93201,                0.90342,                0.82594,                0.86888,                0.73034,                0.62354,                  0.432,                0.89793,              7.822e-05,              7.822e-05,              7.822e-05
                     69,                0.63193,                 0.4119,                0.91768,                 0.9363,                0.79858,                0.90788,                0.75473,                0.59904,                0.43601,                0.89312,              7.789e-05,              7.789e-05,              7.789e-05
                     70,                0.61144,                0.39809,                0.92032,                0.89854,                0.79011,                0.89078,                0.72933,                0.63106,                0.48416,                0.91525,              7.756e-05,              7.756e-05,              7.756e-05
                     71,                0.59778,                0.40191,                 0.9251,                0.81424,                0.86137,                0.87602,                0.72434,                0.63753,                0.47416,                0.92253,              7.723e-05,              7.723e-05,              7.723e-05
                     72,                0.57889,                0.38511,                0.90898,                0.88896,                 0.8314,                0.88871,                0.72883,                0.61399,                0.46613,                0.89846,               7.69e-05,               7.69e-05,               7.69e-05
